text,language
"Hello world","english"
"Buenos días","spanish"
"How are you","english"
"Me gusta el sol","spanish"
"Good morning","english"
"Hola amigos","spanish"
"I love programming","english"
"¿Qué tal?","spanish"
"See you later","english"
"Vamos a la playa","spanish"
"Happy birthday","english"
"Feliz Navidad","spanish"
"This is a test","english"
"Muchas gracias","spanish"
"Have a nice day","english"
"Hasta mañana","spanish"
"Python is fun","english"
"Bienvenido","spanish"
"Thank you","english"
"Por favor","spanish"
